,A,PhnF
R2,,0.23868735694997367
xmin,,-4.395212302
xmid,,
xmax,,3.352973388
ystart,,-6.81445194291442
yend,,6.17464031337376
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,0.5348994696,0.31511308400000004
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-0.5348994696,-0.31511308400000004
AB569_EDTA_NaNO2:NaNO2:1,5.7230742269,1.645637223
AB569_EDTA_NaNO2:NaNO2:2,5.3061079809,1.40182499
AB569_EDTA_NaNO2:EDTA:1,1.2731282631,-0.10988510400000001
AB569_EDTA_NaNO2:EDTA:2,2.3258100701,1.19723955
AB569_EDTA_NaNO2:EDTA:3,0.6033574783,0.6655505610000001
AB569_EDTA_NaNO2:NaNO2_EDTA:1,7.2295560672,1.5163908959999999
AB569_EDTA_NaNO2:NaNO2_EDTA:2,7.3228212241,1.74686204
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.5555274866000001,0.19642630700000002
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.5555274866000001,-0.19642630700000002
Anthranilate_metabolism_GntR_AntP:antP:1,0.6216390033,-0.83496981
Anthranilate_metabolism_GntR_AntP:antP:2,0.751109078,-0.170041787
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,0.0429673602,-0.145939752
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,-0.0429673602,0.145939752
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.4763305316,-0.15976061
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,0.4993030807,-0.052994875000000004
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.3654595337,-0.556272043
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.9016167132,-0.131363532
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-8.16857052,-4.359205563
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-6.1636872727,-3.729191013
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-8.5450061376,-4.395212302
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-8.3673188093,-4.15734192
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.8408519524,0.049129408000000006
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,1.4331735085,0.46481609
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,1.8139535017,0.434641504
Catabolise_Nucleic_Acids:L_asp:1,1.6160012721,0.748325827
Catabolise_Nucleic_Acids:L_asp:2,-4.9235655172,-2.7995589990000003
Catabolise_Nucleic_Acids:DNA_1:1,-0.09269504370000001,-0.090026039
Catabolise_Nucleic_Acids:DNA_1:2,0.4491404456,0.29193926200000003
Catabolise_Nucleic_Acids:DNA_1:3,-0.3564454019,-0.201913224
Catabolite_repression:del_hfq_crc_wt:1,-0.0124624379,-0.104147844
Catabolite_repression:del_hfq_crc_wt:2,0.0124624379,0.104147844
Catabolite_repression:delHfq:1,0.008938730800000001,0.043341116000000006
Catabolite_repression:delHfq:2,-0.42029822310000003,0.6077185150000001
Catabolite_repression:deldcrc:1,0.146237898,0.7781283050000001
Catabolite_repression:deldcrc:2,0.6593298847,0.825422922
Diallyl_disulphide_treatment:PAO1_ctrl_wt:1,-0.4011242453,-0.193590476
Diallyl_disulphide_treatment:PAO1_ctrl_wt:2,0.1670732881,-0.46293924300000006
Diallyl_disulphide_treatment:PAO1_ctrl_wt:3,0.23405095720000002,0.65652972
Diallyl_disulphide_treatment:PAO1_DDS:1,-2.5576985834,0.047875556
Diallyl_disulphide_treatment:PAO1_DDS:2,-2.0955164221,-0.042314501000000004
Diallyl_disulphide_treatment:PAO1_DDS:3,-1.2980716191,-0.8146553980000001
Dispersed_cells:PAO1_dispersed_wt:1,1.1743933249,0.56901687
Dispersed_cells:PAO1_dispersed_wt:2,-1.1743933249,-0.56901687
