,A,rtcR
R2,,0.003582853203290437
xmin,,-5.4227835251
xmid,,
xmax,,2.825223496
ystart,,-0.38284573422668977
yend,,1.2779451995833844
2AA:WT:1.0,-0.1839725691,-0.07290423
2AA:WT:2.0,-0.2370808703,-0.10396057090000001
2AA:WT:3.0,0.0037289672,-0.1846314818
2AA:WT:4.0,0.4173244722,0.3614962827
2AA:del_ridA:1.0,-0.0471662844,-0.2504106091
2AA:del_ridA:2.0,-0.24027167170000002,-0.3820295701
2AA:del_ridA:3.0,-0.2197749465,-0.40633302200000004
2AA:del_ridA:4.0,-0.0849247151,-0.2286911289
GC_MS:WT:1.0,-0.1031596119,0.1456260084
GC_MS:WT:2.0,0.0056004727,-0.0415944275
GC_MS:WT:3.0,0.0975591392,-0.10403158100000001
GC_MS:del_slyA:1.0,0.4924077175,0.0202808035
GC_MS:del_slyA:2.0,0.7421156316,0.1581478267
Rho:WT:1.0,0.1411919067,0.1294890084
Rho:WT:2.0,-0.20514945040000002,-0.1861371749
Rho:WT:3.0,0.06395754370000001,0.0566481665
Rho:rho_Y80C:1.0,0.5011232764,0.2285129403
Rho:rho_Y80C:2.0,-0.229852719,0.2362474441
Rho:rho_Y80C:3.0,-0.358674517,0.1562046467
Rho:rho_K130Q:1.0,-0.0882949069,-0.0183407745
Rho:rho_K130Q:2.0,-0.3189355271,0.053017322000000006
Rho:rho_K130Q:3.0,0.0167920563,-0.0655972326
flagella:WT:1.0,-0.0530245637,0.0471934878
flagella:WT:2.0,0.0530245637,-0.0471934878
flagella:del_rfaL:1.0,1.753151903,0.0226169456
flagella:del_rfaL:2.0,1.8016784403,-0.1733740959
flagella:del_rfaG:1.0,1.1105011737,-0.043225812200000005
flagella:del_rfaG:2.0,0.5945155407,-0.2343724342
flagella:del_rfaD:1.0,1.5349046359,0.2472245891
flagella:del_rfaD:2.0,0.8309924751000001,0.10466156280000001
nusG:WT_OD08:1.0,0.486320558,0.0097516956
nusG:WT_OD08:2.0,-0.486320558,-0.0097516956
omv:spi2_ind_lowOD_intracellularRNAs:1.0,-1.5107866275,-0.7410700796
omv:spi2_ind_lowOD_intracellularRNAs:2.0,-1.2212764185,-0.6281935914
omv:spi2_ind_highOD_intracellularRNAs:1.0,-2.3981905482,-1.0398485328
omv:spi1_ind_highOD_intracellularRNAs:1.0,-0.41888025430000003,-1.7934440429
omv:spi2_ind_highOD_intracellularRNAs:2.0,-1.8292434110000002,-0.2888133853
omv:spi2_ind_highOD_intracellularRNAs:3.0,-2.71576447,-1.2999847703
omv:controlPCN_highOD_intracellularRNAs:1.0,-1.6051474483,-0.4062062789
omv:controlPCN_highOD_intracellularRNAs:2.0,-2.5021632194,0.3553934475
omv:controlPCN_highOD_intracellularRNAs:3.0,0.0409539123,0.22681719190000002
omv:spi1_ind_highOD_intracellularRNAs:2.0,-1.2124409145,-2.0441158391
omv:spi1_ind_highOD_intracellularRNAs:3.0,-1.2716452291,-1.8040092374
omv:controlPCN_lowOD_intracellularRNAs:1.0,-0.4900822065,0.180666937
omv:controlPCN_lowOD_intracellularRNAs:2.0,0.8357740069,-0.1899382964
omv:spi2_ind_lowOD_intracellularRNAs:3.0,-1.4597726904,-0.9655034942
omv:controlPCN_lowOD_intracellularRNAs:3.0,-0.34569180050000003,0.0092713595
sv5015:STM1625:1.0,-0.1441302301,0.7472141884
sv5015:STM1625:2.0,0.401556925,0.6719056249
sv5015:STM1625:3.0,-0.308677817,0.3125467471
sv5015:STM0581:1.0,0.3690803174,-0.6164723075
sv5015:STM0581:2.0,1.0598247758,-0.2461429383
sv5015:STM0581:3.0,0.5471369294,-0.2408593896
sv5015:WT:1.0,0.1706394379,-0.0746178614
sv5015:WT:2.0,-0.6622812892000001,0.0609285175
sv5015:WT:3.0,0.4916418514,0.013689343900000001
tomato:tomato_root:1.0,-0.1311117883,2.1418611379
tomato:tomato_root:2.0,-1.1356701664,1.4625572054
tomato:tomato_root:3.0,-1.4192988899,1.1574367223
tomato:LB:1.0,-0.1765180101,0.1131175296
tomato:LB:2.0,0.1765180101,-0.1131175296
AcrB_efflux_virulence:AcrB_D408A:1.0,0.526563146,0.0693441672
AcrB_efflux_virulence:AcrB_D408A:2.0,0.6770788573000001,-0.032324288
AcrB_efflux_virulence:AcrB_D408A:3.0,1.2194300531,0.1100247629
AcrB_efflux_virulence:WT:1.0,0.5007673340000001,0.0747576305
AcrB_efflux_virulence:WT:2.0,-0.7389528363000001,-0.08591368440000001
AcrB_efflux_virulence:WT:3.0,0.23818550230000002,0.0111560539
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:1.0,-0.47172724380000003,0.0494931588
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:1.0,4.0554818136,0.0173380723
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:2.0,4.1610327699,-0.1741048823
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_0:1.0,1.1212006189000001,0.3818542949
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:3.0,3.8444020514,-0.1413088605
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32:1.0,4.2201562758,0.27379894850000003
Chlortetracycline_florfenicol_MDR:530_Florfenicol_0:1.0,2.5974692622,-0.3181569083
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:2.0,-0.17408156190000001,0.7132330445
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:3.0,-1.3194039513,-0.36151942340000004
Chlortetracycline_florfenicol_MDR:530_Florfenicol_0:2.0,2.1877638508,-0.18281700310000001
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:1.0,3.782248231,0.2153186685
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:2.0,4.4390321439000004,-0.1046339978
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32:2.0,4.0558299988,0.0688039843
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_32:1.0,4.292362085,-0.7600379391000001
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_16:1.0,3.3940097032,0.18391868020000002
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_16:2.0,3.8522506057,0.23065638060000002
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0:1.0,1.265091348,0.2071779401
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0:2.0,1.8901049655,0.11520342930000001
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0:3.0,1.218107832,0.1496794395
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:3.0,4.1298542846,-0.3481475526
Chlortetracycline_florfenicol_MDR:1306_Chlortetracycline_0:1.0,4.0262567043,0.08157747700000001
Chlortetracycline_florfenicol_MDR:5317_Florfenicol_0:1.0,-0.0860430442,0.5783500713
Chlortetracycline_florfenicol_MDR:5317_Florfenicol_0:2.0,0.9561517890000001,-0.1920532638
Chlortetracycline_florfenicol_MDR:5317_Florfenicol_0:3.0,-0.8701087447,-0.3862968074
Chlortetracycline_florfenicol_MDR:1434_Florfenicol_16:1.0,4.291784233,-0.4556318392
Chlortetracycline_florfenicol_MDR:1434_Florfenicol_16:2.0,4.6505365188,-0.3236585413
Chlortetracycline_florfenicol_MDR:1434_Florfenicol_16:3.0,4.5014126367,-0.24348906520000002
Chlortetracycline_florfenicol_MDR:1434_Florfenicol_0:1.0,0.6396369411,0.7024436693
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_32:2.0,3.6460888744,-0.0589932637
Chlortetracycline_florfenicol_MDR:5317_Florfenicol_16:1.0,3.5416735356,-0.36449248840000004
Chlortetracycline_florfenicol_MDR:5317_Florfenicol_16:2.0,4.1284740588,-0.4145810944
Chlortetracycline_florfenicol_MDR:1306_Chlortetracycline_16:1.0,7.4177079939,-0.6150876081000001
