,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,4.47066241915,0.13329060172756965,2.0,0.0,4.5649131075,5.0,4.3764117308,,
1,U01-Set001__USA300 LAC CA-MHB Control,6.770272926900001,0.48331557905090805,2.0,1.0,7.1120286503,6.0,6.4285172035,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,6.73741683855,0.05120547294036989,2.0,2.0,6.7736245756999995,7.0,6.7012091014,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,6.770388155,0.13497034781628262,2.0,3.0,6.8658266032,8.0,6.6749497068,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,6.640665971100001,0.3347560347290067,2.0,4.0,6.8773742333,9.0,6.4039577089,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,5.27941533245,0.07158848733575555,2.0,10.0,5.2287946276,29.0,5.3300360373,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,5.180670989199999,0.704452480945146,2.0,11.0,5.6787941155,30.0,4.6825478629,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,4.7388571737500005,0.6001739299372368,2.0,12.0,5.1632442295,31.0,4.314470118,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,6.574592098549999,0.4443330857650347,2.0,13.0,6.8887830366,14.0,6.2604011605,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,6.97612392075,0.06074678265412902,2.0,15.0,6.9331694588,18.0,7.0190783827,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,6.80414962785,0.2702542623468136,2.0,16.0,6.9952482494,19.0,6.6130510063,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,6.957566201900001,0.1882139561392345,2.0,17.0,6.8244788372,20.0,7.0906535666,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,6.833537891000001,0.20374169903766268,2.0,21.0,6.977605028,24.0,6.689470754,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,7.0511655991,0.0669543436149138,2.0,22.0,7.0985094695,25.0,7.0038217287,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,7.11784321775,0.43226970944486137,2.0,23.0,7.4235040606,26.0,6.8121823749,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,5.9124672875,0.04482354552846294,2.0,27.0,5.9441623205,28.0,5.8807722545,,
