,A,phoP
R2,,0.10663661031376226
xmin,,-1.7003909253
xmid,,-0.1474871023127484
xmax,,1.2815073978
ystart,,0.9486421044874696
yend,,-9.290327322967658
AX:AX_10_MIC:1,-2.6613044937,0.24669375500000001
AX:AX_10_MIC:2,-3.0959310808,0.1694783409
AX:AX_30_MIC:1,-2.3003408782,0.2876342793
AX:AX_30_MIC:2,-3.1427990088,0.1480415022
AX:QZ_10_MIC:1,-2.5783530111,0.2841223318
AX:QZ_10_MIC:2,-3.4629596174,0.1943783325
AX:QZ_30_MIC:1,-3.0016367505,0.2283299122
AX:QZ_30_MIC:2,-2.9512301523,0.23310922520000002
AX:wt:1,-0.1298005887,0.12592340900000001
AX:wt:2,0.1298005887,-0.12592340900000001
ITM_04:00h_clinic_ctrl:1,-3.0157576965,0.0468887594
ITM_04:00h_clinic_ctrl:2,-4.089676972,0.0548044825
ITM_04:00h_h37rv_control:1,-0.6320857382,-0.0912597356
ITM_04:00h_h37rv_control:2,-0.2007132597,0.0344843643
ITM_04:00h_h37rv_control:3,0.8327989979,0.0567753713
ITM_04:06h_clinic_delam:1,-13.2719690596,0.8078684346
ITM_04:06h_clinic_delam:2,-13.8319011179,0.7065613056000001
ITM_04:06h_clinic_delam:3,-14.4503151138,0.9088486117000001
ITM_04:06h_clinic_DMSO:1,-4.7801871887,0.3808317648
ITM_04:06h_clinic_DMSO:2,-5.5375743087,0.4991288937
ITM_04:06h_clinic_DMSO:3,-4.3119328132,0.3939367507
ITM_04:06h_h37rv_delam:1,-3.7544302684,0.9150710309000001
ITM_04:06h_h37rv_delam:2,-4.0627710506,0.8765963962000001
ITM_04:06h_h37rv_delam:3,-3.7456640467,0.8662976744
ITM_04:06h_h37rv_DMSO:1,0.4184531704,0.1184927842
ITM_04:06h_h37rv_DMSO:2,0.5978525017,0.1946048987
ITM_04:06h_h37rv_DMSO:3,-0.3430968809,0.2090005168
ITM_04:24h_clinic_delam:1,-14.3701487943,0.4355049962
ITM_04:24h_clinic_delam:2,-11.938864614,0.3708954926
ITM_04:24h_clinic_delam:3,-12.831713829,0.3311765547
ITM_04:24h_clinic_DMSO:1,-4.0920046979,0.535924783
ITM_04:24h_clinic_DMSO:2,-3.1504222662,0.3305580951
ITM_04:24h_clinic_DMSO:3,-2.5877120745999997,0.3028017712
ITM_04:24h_h37rv_delam:1,0.155205645,0.1928625314
ITM_04:24h_h37rv_delam:2,-0.5069835252,0.3687536628
ITM_04:24h_h37rv_delam:3,-0.034256029800000004,0.4045555411
ITM_04:24h_h37rv_DMSO:1,3.133561273,-0.11577577480000001
ITM_04:24h_h37rv_DMSO:2,3.6790202801,-0.0223403485
JSF:DMSO:1,0.11784712330000001,0.1005621794
JSF:DMSO:2,0.3030448743,0.019511856600000002
JSF:DMSO:3,-0.0730352117,-0.0149457409
JSF:DMSO:4,-0.3478567859,-0.1051282951
JSF:JSF_2019:1,-10.1338971248,0.5672441572
JSF:JSF_2019:2,-11.5912417061,0.6718613188
JSF:JSF_2019:3,-10.1413140307,0.44090796
JSF:JSF_2019:4,-9.712681942,0.4172933492
JSF:JSF_2026:1,1.5158805743000001,-0.12072423600000001
JSF:JSF_2026:2,0.7602781975,-0.23495467350000002
JSF:JSF_2026:3,0.19032871640000001,-0.1611450965
JSF:JSF_2026:4,1.0141953812,-0.1423870897
MTS1338:over_expression:1,3.7508228132,-0.4404272758
MTS1338:over_expression:2,-3.7508228132,0.4404272758
PAS:control:1,0.9278079481,0.1353183484
PAS:control:2,-0.9042864272000001,-0.0032534769000000002
PAS:control:3,-0.023521520900000002,-0.1320648716
PAS:treated:1,-13.1736199818,0.6617872468
PAS:treated:2,-13.1360985419,0.9412686796
PAS:treated:3,-13.6813261788,0.3282193983
THP-1:24h_THP_B_enriched:1,0.9480718134,0.1496038921
THP-1:24h_THP_B_enriched:2,-0.9480718134,-0.1496038921
aminoimidazoles:02h_treated:1,0.4187687344,-0.1957301321
aminoimidazoles:02h_treated:2,0.1675455612,-0.2666725984
aminoimidazoles:24h_treated:1,0.2420927592,0.16996439160000001
aminoimidazoles:24h_treated:2,0.0147561748,0.056683979
aminoimidazoles:untreated:1,-0.0728226882,0.026596588
aminoimidazoles:untreated:2,-0.17596640030000002,-0.0062043018
aminoimidazoles:untreated:3,0.2487890885,-0.0203922862
antibiotic:ctrl_24h:1,-0.4965075185,-0.065796296
antibiotic:ctrl_24h:2,-1.5087278778000002,-0.2782448762
antibiotic:ctrl_24h:3,0.31369919160000004,-0.1145634393
antibiotic:ctrl_4h:1,0.828830437,-0.010967956400000001
antibiotic:ctrl_4h:2,-0.1652667566,0.0753479148
antibiotic:ctrl_4h:3,-0.6635636803,-0.0643799583
antibiotic:izd_4h:1,16.1540775873,-0.1773307412
antibiotic:izd_4h:2,16.526348779,-0.31557004580000003
base:wt_glu_24:1,0.4426164528,0.5444852795
base:wt_glu_24:2,0.2917914035,0.5452084793
base:wt_glu_24:3,1.0642024229,0.4146918392
base:wt_glu_6:1,0.7801528319000001,0.0473924858
base:wt_glu_6:2,-0.5861567501,-0.0705632264
base:wt_glu_6:3,-0.1939960818,0.0231707406
base:wt_llac_24:1,-4.5004375372,-0.1193559597
base:wt_llac_24:2,-4.2841474153,0.0301328189
base:wt_llac_24:3,-2.4729323848,-0.2713421429
base:wt_llac_6:1,-1.2755365232,-0.1345006249
base:wt_llac_6:2,-3.4393404172,-0.4490215182
base:wt_llac_6:3,-3.4760562606,-0.3013958782
base:wt_pyr_24:1,-3.5446482009,0.2940143161
base:wt_pyr_24:2,-7.1584257966,-0.0908800914
base:wt_pyr_24:3,-6.3390344751,0.09649096480000001
base:wt_pyr_6:1,-3.6374999514,-0.6774309549
base:wt_pyr_6:2,-1.8953439736000002,-0.34464899320000003
base:wt_pyr_6:3,-3.3084834278,-0.49743399380000003
biofilm:biofilm:1,3.0466068552,-0.7846745001000001
biofilm:biofilm:2,2.7922506917,-0.7489923938
biofilm:planktonic:1,0.0877058921,0.0018230303000000001
biofilm:planktonic:2,-0.0877058921,-0.0018230303000000001
btz043:0_days_.006:1,-0.13558219200000002,0.0329910925
btz043:0_days_.006:2,0.056083513,0.11952205860000001
btz043:0_days_.006:3,0.13135760600000002,0.0716047696
btz043:0_days_control:1,-0.0646878879,-0.0081355448
btz043:0_days_control:2,0.116718315,0.0555935159
btz043:0_days_control:3,-0.0520304271,-0.0474579711
btz043:1_days_.006:1,-10.2760691251,0.15725443020000002
btz043:1_days_.006:2,-10.4012809311,0.1136547837
btz043:1_days_.006:3,-10.2783150094,0.16437540380000001
btz043:1_days_.006:4,-10.2438499485,0.2309667595
btz043:1_days_control:1,-9.2317258414,-0.1322498695
btz043:1_days_control:2,-9.3672751833,-0.1027702412
btz043:1_days_control:3,-9.2665983177,-0.11932252730000001
btz043:1_days_control:4,-9.5258691561,-0.0960593456
clarithromycin:1_days_control:1,-0.026870951100000002,0.0487760255
clarithromycin:1_days_control:2,-0.1377950861,-0.0501105174
clarithromycin:1_days_control:3,0.1646660372,0.0013344919
cnpB:del:1,-3.3623689200999998,-0.2566489594
cnpB:del:2,-3.3425334412,-0.041847670000000003
cnpB:del:3,-3.0977643577,-0.3484249525
cnpB:wt:1,0.6327901877000001,-0.0167743744
cnpB:wt:2,-1.6457089067,0.0530738568
cnpB:wt:3,1.012918719,-0.0362994824
csoR:ko:1,-7.9702605470000005,0.34944254010000003
csoR:ko:2,-6.5779424279,0.1865743755
csoR:wt:1,1.5616567853,-0.0236054766
csoR:wt:2,-1.5616567853,0.0236054766
dap:0_days_25:1,0.0615476594,0.2187941975
dap:0_days_25:2,-0.14420414580000002,0.1360499682
dap:0_days_25:3,-0.12596753100000002,0.1098821519
dap:0_days_25:4,-0.12912641830000002,0.11457664320000001
dap:0_days_control:1,0.2531239101,0.0271879309
dap:0_days_control:2,-0.0612481463,-0.095308023
dap:0_days_control:3,0.07078230170000001,0.0653146765
dap:0_days_control:4,-0.2626580655,0.0028054156
dap:1_days_25:1,-6.955186476,0.10379475710000001
dap:1_days_25:2,-6.9713788148999996,0.15170544960000001
dap:1_days_25:3,-6.9391879155,0.1362874417
dap:1_days_25:4,-7.1259863777,0.036306596000000003
dap:1_days_control:1,-7.952630935,0.114534308
dap:1_days_control:2,-7.7695924874,0.0088825546
dap:1_days_control:3,-8.0833931494,0.0575800828
dap:1_days_control:4,-7.409031637,0.0417415765
degradosome:mutant_rnj:1,2.5084253079,0.0329219989
degradosome:mutant_rnj:2,1.9911146216,0.0310085643
degradosome:mutant_rnj:3,2.4366728505,0.12645037380000002
degradosome:PNPase_ko:1,3.5372647491,-0.3325024875
degradosome:PNPase_ko:2,3.848815168,-0.1379282235
degradosome:PNPase_ko:3,3.6623071062,-0.18306604540000002
degradosome:Rnase_E_ko:1,-0.045318723400000004,-1.7003909253
degradosome:Rnase_E_ko:2,0.8854168508,-1.3464458959
degradosome:Rnase_E_ko:3,0.8848108956,-1.627958729
degradosome:wt_cas9_ctrl:1,6.551932041,-0.1630851217
degradosome:wt_cas9_ctrl:2,7.0742892606,-0.1528843679
degradosome:wt_cas9_ctrl:3,8.1491023721,-0.3911415922
degradosome:wt_expn:1,-0.3565269345,0.071451736
degradosome:wt_expn:2,-0.1547437862,-0.0159549157
degradosome:wt_expn:3,0.5112707207,-0.055496820200000005
delam:0_days_.09:1,-0.1529213501,-0.022120855300000002
delam:0_days_.09:2,0.204665693,0.1353043709
delam:0_days_.09:3,-0.1239142507,0.091486386
delam:0_days_.09:4,-0.5349158989,-0.1404396667
delam:0_days_control:1,-0.0448434402,0.0884340854
delam:0_days_control:2,-0.3530569982,0.0013270955
delam:0_days_control:3,0.5609565385,-0.0704907121
delam:0_days_control:4,-0.16305609999999998,-0.0192704687
delam:1_days_.09:1,2.5084586305,0.0942093893
delam:1_days_.09:2,2.5498181735000003,0.1729666537
delam:1_days_.09:3,2.400156794,0.1180226266
delam:1_days_.09:4,2.1462067171,0.08686001700000001
delam:1_days_control:1,2.4105847584,0.025498315900000002
delam:1_days_control:2,2.4392172954999998,0.0826027577
delam:1_days_control:3,2.7482526084,0.0308828609
delam:1_days_control:4,2.0867694216,-0.038279415000000004
dg_inh:both:1,-1.3651182111,-0.3936177805
dg_inh:both:2,-1.4588735035,-0.2852581082
dg_inh:both:3,-1.4076238654,-0.2797488232
dg_inh:dg:1,-1.3212372424,-0.2754495176
dg_inh:dg:2,-0.9680763651000001,-0.3325010881
dg_inh:dg:3,-1.3078089377,-0.2259132915
dg_inh:DMSO:1,-0.1087488534,-0.0144564418
dg_inh:DMSO:2,0.2760512001,-0.0602005672
dg_inh:DMSO:3,-0.1673023467,0.07465700900000001
dg_inh:inh:1,-1.3937844018,-0.334581493
dg_inh:inh:2,-1.1329585157,-0.2205390325
dg_inh:inh:3,-1.4263850645,-0.3416072069
dormancy:dormant_20d_rifampicin:1,-11.1583118691,-1.1865708114
dormancy:dormant_20d_rifampicin:2,-11.3337656577,-1.6714188588
dormancy:dormant_20d_rifampicin:3,-10.565900441,-1.4261427423
dormancy:dormant_no_treatment:1,0.6126190543000001,-0.056305156
dormancy:dormant_no_treatment:2,0.0233809951,0.1169183436
dormancy:dormant_no_treatment:3,-0.6360000494,-0.0606131876
eccE1:control:1,0.2837966659,0.0244298739
eccE1:control:2,-0.2837966659,-0.0244298739
eccE1:delta_eccE1:1,-0.1211977682,0.014227179900000001
eccE1:delta_eccE1:2,-0.6003471679,0.12231736330000001
