,A,EsrC
R2,,0.45786473926045856
xmin,,-4.028778251
xmid,,0.07507074529127479
xmax,,4.443186341
ystart,,0.16967988757518232
yend,,13.178240199888617
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,0.6141131486,-0.154831628
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-0.6141131486,0.154831628
AB569_EDTA_NaNO2:NaNO2:1,4.3961661071,1.953492376
AB569_EDTA_NaNO2:NaNO2:2,5.4763486774,2.289244808
AB569_EDTA_NaNO2:EDTA:1,1.1150509036,0.593643184
AB569_EDTA_NaNO2:EDTA:2,0.7039070921,0.048664168
AB569_EDTA_NaNO2:EDTA:3,0.707602558,-0.126937685
AB569_EDTA_NaNO2:NaNO2_EDTA:1,9.5620695517,3.058116543
AB569_EDTA_NaNO2:NaNO2_EDTA:2,10.4767178019,3.049571451
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,-0.155915263,-0.000292193
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,0.155915263,0.000292193
Anthranilate_metabolism_GntR_AntP:antP:1,1.1997182635,-0.949153593
Anthranilate_metabolism_GntR_AntP:antP:2,1.7523045559,0.136551267
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.11958278850000001,4.29e-05
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.11958278850000001,-4.29e-05
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.3254686332,-0.84021751
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-0.9999219545,-0.842152585
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.41455609660000003,-0.834895629
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.49362561380000003,-0.6938513040000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-2.9890687275000003,-4.028778251
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-2.608366701,-3.547844777
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-3.005325564,-3.591899405
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-3.2129124001,-3.862274392
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.34582046780000003,-0.7066220430000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,-0.0496878809,-0.491924185
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,-0.2916803365,-0.8729606320000001
Catabolise_Nucleic_Acids:L_asp:1,-0.31852136070000003,1.228603881
Catabolise_Nucleic_Acids:L_asp:2,-3.1616602903,-0.631986876
Catabolise_Nucleic_Acids:DNA_1:1,-0.5325889461000001,-0.130662356
Catabolise_Nucleic_Acids:DNA_1:2,-0.1305612309,0.189333636
