,A,Rv2621c
R2,,0.2147364550734171
xmin,,-2.1199643612
xmid,,
xmax,,4.3081166002
ystart,,-5.385989947162477
yend,,9.882969831146788
AX:AX_10_MIC:1,-1.531281523,0.181247188
AX:AX_10_MIC:2,0.0262459737,0.23405616710000002
AX:AX_30_MIC:1,-1.3238326624,0.45968126070000004
AX:AX_30_MIC:2,0.3400120613,0.5218181274
AX:QZ_10_MIC:1,-1.3312056343,0.3273955243
AX:QZ_10_MIC:2,0.4871558682,0.6667958613
AX:QZ_30_MIC:1,-0.786547112,0.4332840898
AX:QZ_30_MIC:2,-1.5965497405,0.47999461400000004
AX:wt:1,1.2226811179000001,0.0123935917
AX:wt:2,-1.2226811179000001,-0.0123935917
ITM_04:00h_clinic_ctrl:1,-3.42369755,-0.23568297130000002
ITM_04:00h_clinic_ctrl:2,-3.0329817752,0.0195892241
ITM_04:00h_h37rv_control:1,0.487328097,0.2335580177
ITM_04:00h_h37rv_control:2,0.1114272428,-0.0166389282
ITM_04:00h_h37rv_control:3,-0.5987553398000001,-0.2169190895
ITM_04:06h_clinic_delam:1,3.6276531245,0.49696925220000004
ITM_04:06h_clinic_delam:2,4.0855590063,0.563670455
ITM_04:06h_clinic_delam:3,3.7428931651,0.6010133695000001
ITM_04:06h_clinic_DMSO:1,-1.3161032349,0.1000763455
ITM_04:06h_clinic_DMSO:2,-1.5383086937,0.0149914247
ITM_04:06h_clinic_DMSO:3,-1.1371893204,0.0337186835
ITM_04:06h_h37rv_delam:1,0.5603198219000001,-0.2720183773
ITM_04:06h_h37rv_delam:2,1.7975760139,-0.2221905897
ITM_04:06h_h37rv_delam:3,1.5345767677,-0.3674261748
ITM_04:06h_h37rv_DMSO:1,-2.0753035556,-0.6988127048
ITM_04:06h_h37rv_DMSO:2,-2.5844482116,-0.8138632559000001
ITM_04:06h_h37rv_DMSO:3,-1.9877043637,-0.6185958585
ITM_04:24h_clinic_delam:1,4.4280843294,-0.44737316590000004
ITM_04:24h_clinic_delam:2,3.7738508827,-0.7965199517
ITM_04:24h_clinic_delam:3,4.6522499981,-0.5854757102
ITM_04:24h_clinic_DMSO:1,-3.4231016184,-1.1690168082
ITM_04:24h_clinic_DMSO:2,-3.64178394,-1.0544198417
ITM_04:24h_clinic_DMSO:3,-3.3719666535,-1.0393731399
ITM_04:24h_h37rv_delam:1,0.6804445646,-1.2867575287
ITM_04:24h_h37rv_delam:2,1.3379370927,-1.2615027664
ITM_04:24h_h37rv_delam:3,0.5848139099,-1.1600974678
ITM_04:24h_h37rv_DMSO:1,-5.7358888618,-2.0941291768
ITM_04:24h_h37rv_DMSO:2,-6.1027547846,-2.1199643612
JSF:DMSO:1,0.5106052113,-0.0657458023
JSF:DMSO:2,-0.1752744048,-0.0742572284
JSF:DMSO:3,-0.2139644585,0.1289905039
JSF:DMSO:4,-0.1213663479,0.0110125268
JSF:JSF_2019:1,10.0644088195,1.7942265607
JSF:JSF_2019:2,8.9656510667,1.8202036195
JSF:JSF_2019:3,9.9103446715,1.9183042153
JSF:JSF_2019:4,9.4380381705,1.7598662807
JSF:JSF_2026:1,5.624697611,0.2300783442
JSF:JSF_2026:2,4.5920177013,0.4341398745
JSF:JSF_2026:3,3.7562368879,0.265790333
JSF:JSF_2026:4,4.9764078214000005,0.2391999594
MTS1338:over_expression:1,0.31972409630000004,0.1557498087
MTS1338:over_expression:2,-0.31972409630000004,-0.1557498087
PAS:control:1,-0.07060271330000001,-0.0370871463
PAS:control:2,-0.3738407206,-0.5906004641
PAS:control:3,0.4444434339,0.6276876104
PAS:treated:1,1.1764242532,2.5192421698
PAS:treated:2,0.2168099259,2.1826999417
PAS:treated:3,1.6155599423,2.5704484926999998
THP-1:24h_THP_B_enriched:1,0.0982985927,-0.2922529117
THP-1:24h_THP_B_enriched:2,-0.0982985927,0.2922529117
aminoimidazoles:02h_treated:1,1.5885220199,-0.2737177797
aminoimidazoles:02h_treated:2,1.6716590584,-0.10351066660000001
aminoimidazoles:24h_treated:1,3.4806521109,-0.1147234015
aminoimidazoles:24h_treated:2,4.5283512899,0.312517973
aminoimidazoles:untreated:1,-0.1026777306,0.051871868200000004
aminoimidazoles:untreated:2,0.26614184,0.21928841100000002
aminoimidazoles:untreated:3,-0.1634641094,-0.2711602792
antibiotic:ctrl_24h:1,-0.3842723508,-0.1950507579
antibiotic:ctrl_24h:2,-0.1465379194,0.0526699359
antibiotic:ctrl_24h:3,0.3878212482,-0.2491870907
antibiotic:ctrl_4h:1,-0.1716121088,-0.0354574072
antibiotic:ctrl_4h:2,0.1223841168,0.1312555991
antibiotic:ctrl_4h:3,0.049227992000000005,-0.09579819190000001
antibiotic:izd_4h:1,-7.2538895936,-1.1065540692
antibiotic:izd_4h:2,-6.6104602253,-0.9846219914000001
base:wt_glu_24:1,0.5042020785,-0.043594975700000003
base:wt_glu_24:2,1.2573004707,-0.0181168637
base:wt_glu_24:3,1.7771488603,-0.3007863008
base:wt_glu_6:1,-0.47887891860000004,0.1528721761
base:wt_glu_6:2,0.4123281183,-0.0642778553
base:wt_glu_6:3,0.0665508003,-0.0885943208
base:wt_llac_24:1,1.8798317304,0.2725923161
base:wt_llac_24:2,1.5286607824,0.48994440780000004
base:wt_llac_24:3,3.1803251348,-0.4378103823
base:wt_llac_6:1,3.8777391423000003,0.16080678850000002
base:wt_llac_6:2,4.2539656137,-0.0175086055
base:wt_llac_6:3,5.1114378158000005,0.0118883935
base:wt_pyr_24:1,1.4748052586,0.2016970137
base:wt_pyr_24:2,2.784863939,-0.2108399457
base:wt_pyr_24:3,1.9006391494,0.1468008116
base:wt_pyr_6:1,2.3052955718,-0.1910185935
base:wt_pyr_6:2,0.9738701964,-0.16790325180000001
base:wt_pyr_6:3,1.8047900217000001,-0.3291008427
biofilm:biofilm:1,-2.150151014,0.6521049285
biofilm:biofilm:2,-2.0336056859,0.65823197
biofilm:planktonic:1,-0.1150241703,-0.0057442709
