locus,gene_weight,gene_name,gene_product,COG,operon,regulator,PyrR,link
BSU_15500,0.23518498000000002,pyrC,dihydroorotase,Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15500
BSU_15510,0.233726221,pyrAA,carbamoyl-phosphate synthetase (glutaminase subunit),Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15510
BSU_15490,0.22872367200000002,pyrB,aspartate carbamoyltransferase,Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15490
BSU_15520,0.22679109200000003,pyrAB,carbamoyl-phosphate synthetase (catalytic subunit),Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15520
BSU_15530,0.216094215,pyrK,dihydroorotic acid dehydrogenase (electron transfer subunit),Energy production and conversion,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15530
BSU__misc_RNA_28,0.21519185000000002,BSU_misc_RNA_28,,No COG category,,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_28
BSU_15540,0.208692538,pyrD,dihydroorotic acid dehydrogenase (catalytic subunit),Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15540
BSU_15550,0.199877994,pyrF,orotidine-5-phosphate decarboxylase,Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15550
BSU_15560,0.19457053200000002,pyrE,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15560
BSU_15480,0.151434211,pyrP,uracil permease,Nucleotide transport and metabolism,pyrR->pyrE,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15480
BSU__misc_RNA_27,0.133636692,BSU_misc_RNA_27,,No COG category,,"SigA,PyrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_27
