,A,rstA
R2,,0.09473129169103955
xmin,,-6.5017840187000004
xmid,,
xmax,,3.21488801
ystart,,5.26151047411722
yend,,-2.807176679047317
2AA:WT:1.0,-0.0468398222,0.061340601200000004
2AA:WT:2.0,0.1752031536,-0.32369379730000003
2AA:WT:3.0,-0.311896691,0.6631765331
2AA:WT:4.0,0.1835333596,-0.400823337
2AA:del_ridA:1.0,1.0152346362,0.7179289175
2AA:del_ridA:2.0,0.3894580304,0.6737162563
2AA:del_ridA:3.0,0.39078455100000004,0.5971278834
2AA:del_ridA:4.0,0.220084418,0.7174704575
GC_MS:WT:1.0,0.1217826218,0.0534735631
GC_MS:WT:2.0,0.1542472077,-0.1277998068
GC_MS:WT:3.0,-0.2760298295,0.0743262438
GC_MS:del_slyA:1.0,1.0711419976,-0.5300191993
GC_MS:del_slyA:2.0,0.8100631661000001,-0.45966989150000004
Rho:WT:1.0,0.2005369062,0.1690978981
Rho:WT:2.0,-0.2140027341,-0.1833557651
Rho:WT:3.0,0.0134658278,0.0142578671
Rho:rho_Y80C:1.0,-0.6028101436000001,0.8489866752
Rho:rho_Y80C:2.0,0.0828913964,0.8958816343
Rho:rho_Y80C:3.0,0.1373204811,0.9428788159
Rho:rho_K130Q:1.0,-0.1626081351,0.6042893224
Rho:rho_K130Q:2.0,-0.1009387687,0.6328720536
Rho:rho_K130Q:3.0,-0.106299448,0.8654656618000001
flagella:WT:1.0,-0.1796771985,-0.0645618703
flagella:WT:2.0,0.1796771985,0.0645618703
flagella:del_rfaL:1.0,-1.1100022174,-0.10647769160000001
flagella:del_rfaL:2.0,-1.6956826728,-0.1782471316
flagella:del_rfaG:1.0,-2.3947549493,2.15772148
flagella:del_rfaG:2.0,-1.9625570302000002,1.8051910922
flagella:del_rfaD:1.0,0.1739419159,2.0421719591
flagella:del_rfaD:2.0,-0.1319903197,2.5133403388
nusG:WT_OD08:1.0,0.2165463654,0.0266117222
nusG:WT_OD08:2.0,-0.2165463654,-0.0266117222
omv:spi2_ind_lowOD_intracellularRNAs:1.0,1.4539890575,2.9536984817
omv:spi2_ind_lowOD_intracellularRNAs:2.0,2.3720413264,2.7929801171
omv:spi2_ind_highOD_intracellularRNAs:1.0,1.8436311993,1.0113199253
omv:spi1_ind_highOD_intracellularRNAs:1.0,1.220438547,0.0787384834
omv:spi2_ind_highOD_intracellularRNAs:2.0,1.1977140275,2.1246404401
omv:spi2_ind_highOD_intracellularRNAs:3.0,1.329376404,2.0166185896
omv:controlPCN_highOD_intracellularRNAs:1.0,1.4546978988,0.2288749511
omv:controlPCN_highOD_intracellularRNAs:2.0,-0.0142363548,0.8319204239
omv:controlPCN_highOD_intracellularRNAs:3.0,0.2784362194,0.3076149066
omv:spi1_ind_highOD_intracellularRNAs:2.0,1.2889481039000001,0.2008956249
omv:spi1_ind_highOD_intracellularRNAs:3.0,1.243842622,0.0090181891
omv:controlPCN_lowOD_intracellularRNAs:1.0,-0.2003197347,0.053296134
omv:controlPCN_lowOD_intracellularRNAs:2.0,0.4780451747,-0.0184183823
omv:spi2_ind_lowOD_intracellularRNAs:3.0,2.6078743575,3.0898824255
omv:controlPCN_lowOD_intracellularRNAs:3.0,-0.27772544,-0.0348777517
sv5015:STM1625:1.0,1.2784042755,-0.1599509392
sv5015:STM1625:2.0,0.9808193368,-0.1422406823
sv5015:STM1625:3.0,1.7360522802,-0.117063471
sv5015:STM0581:1.0,0.6213797065000001,-0.23308790040000002
sv5015:STM0581:2.0,0.5477099119000001,-0.46277099
sv5015:STM0581:3.0,0.5811812097,-0.34948928090000003
sv5015:WT:1.0,0.1479181786,0.0587999768
sv5015:WT:2.0,-0.5785041204,-0.0388057546
sv5015:WT:3.0,0.43058594180000004,-0.0199942222
tomato:tomato_root:1.0,5.367633097,0.0022640984
tomato:tomato_root:2.0,5.3475400414,0.5596704508
tomato:tomato_root:3.0,4.85047735,0.020475652
tomato:LB:1.0,-1.7632316503,-0.09324208070000001
tomato:LB:2.0,1.7632316503,0.09324208070000001
AcrB_efflux_virulence:AcrB_D408A:1.0,-0.3831529343,-0.42448092800000004
AcrB_efflux_virulence:AcrB_D408A:2.0,-0.3985164237,-0.3181369231
AcrB_efflux_virulence:AcrB_D408A:3.0,-1.4143548131,-0.5482864933
AcrB_efflux_virulence:WT:1.0,-0.2687933625,0.0087372166
AcrB_efflux_virulence:WT:2.0,0.23458140300000002,-0.0018807535000000002
AcrB_efflux_virulence:WT:3.0,0.0342119594,-0.006856463100000001
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:1.0,-6.3762266482,0.6298836122
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:1.0,-2.070465904,0.2525747017
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:2.0,-0.2265519833,0.094410134
