,A,AtsR
R2,,0.7246511216384308
xmin,,-5.282167427
xmid,,
xmax,,4.6547090220000005
ystart,,-27.102721219436127
yend,,21.494174776881895
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-0.4587704696,-0.122855852
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,0.4587704696,0.122855852
AB569_EDTA_NaNO2:NaNO2:1,5.4825390198,0.984770703
AB569_EDTA_NaNO2:NaNO2:2,6.8096359621,0.914885346
AB569_EDTA_NaNO2:EDTA:1,0.600056966,1.000629743
AB569_EDTA_NaNO2:EDTA:2,0.0161631752,0.23505534200000003
AB569_EDTA_NaNO2:EDTA:3,1.2902167368,0.153324022
AB569_EDTA_NaNO2:NaNO2_EDTA:1,7.2694355727,0.948730802
AB569_EDTA_NaNO2:NaNO2_EDTA:2,7.9609920004,0.808073307
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,-0.2381382944,-0.052589782
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,0.2381382944,0.052589782
Anthranilate_metabolism_GntR_AntP:antP:1,0.6886217384000001,0.7779030170000001
Anthranilate_metabolism_GntR_AntP:antP:2,1.5514778794000001,0.7544856080000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.2696218568,-0.048254292000000004
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.2696218568,0.048254292000000004
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.3991634711,-0.5416683250000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,0.07876102360000001,0.017055956
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,-0.579258738,-0.29319621
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,1.1700541238,-0.203437521
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-13.9378865364,-3.763355105
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-10.8382640979,-3.005357081
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-13.5568810282,-3.613059061
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-13.0820943584,-3.686115902
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,1.3929785548,-0.037109139
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,1.6305853175,0.15551274
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,1.1362529178,0.416253692
Catabolise_Nucleic_Acids:L_asp:1,-3.4734846383,-0.6771770420000001
Catabolise_Nucleic_Acids:L_asp:2,-10.9244721416,-2.067976527
Catabolise_Nucleic_Acids:DNA_1:1,1.4998039368,0.039493081
Catabolise_Nucleic_Acids:DNA_1:2,-1.1593655318,0.07084544100000001
Catabolise_Nucleic_Acids:DNA_1:3,-0.3404384051,-0.11033852200000001
Catabolite_repression:del_hfq_crc_wt:1,-1.0337655916,0.044595876
Catabolite_repression:del_hfq_crc_wt:2,1.0337655916,-0.044595876
Catabolite_repression:delHfq:1,2.6072063361,0.44924486900000005
Catabolite_repression:delHfq:2,3.0148559776,0.093628549
Catabolite_repression:deldcrc:1,-1.9239220866000002,0.112512125
Catabolite_repression:deldcrc:2,-2.4175844777,-0.222214862
Diallyl_disulphide_treatment:PAO1_ctrl_wt:1,0.47553741660000004,0.030893911000000003
Diallyl_disulphide_treatment:PAO1_ctrl_wt:2,-0.16290165980000001,0.16374439100000002
Diallyl_disulphide_treatment:PAO1_ctrl_wt:3,-0.3126357568,-0.194638301
Diallyl_disulphide_treatment:PAO1_DDS:1,-6.729335291,-1.175280329
Diallyl_disulphide_treatment:PAO1_DDS:2,-7.4599311059,-1.789294914
Diallyl_disulphide_treatment:PAO1_DDS:3,-7.0507901,-1.372488559
