locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fur,link
PN96_RS01495,0.1397513844206651,PN96_RS01495,Fe(3+) ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Op322,Fur,True,
PN96_RS15930,0.1385556156649162,PN96_RS15930,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Op187,,False,
PN96_RS09345,0.1310551126723411,feoC,iron transporter FeoC,Function unknown,Op2360,Fur,True,
PN96_RS15320,0.1300784855037309,PN96_RS15320,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,Op26,"FNR,Fur",True,
PN96_RS04145,0.1300370906244844,PN96_RS04145,peptidase,Inorganic ion transport and metabolism,Op1046,Fur,True,
PN96_RS14950,0.1264159468009283,bfd,bacterioferritin-associated ferredoxin,Inorganic ion transport and metabolism,Op3022,Fur,True,
PN96_RS17030,0.1262094366024094,fhuE,TonB-dependent siderophore receptor,Cell wall/membrane/envelope biogenesis,Op482,Fur,True,
PN96_RS09225,0.1247338732178479,PN96_RS09225,hypothetical protein,No COG annotation,Op2341,,False,
PN96_RS09350,0.1243153056345446,feoB,Fe(2+) transporter permease subunit FeoB,Inorganic ion transport and metabolism,Op2360,Fur,True,
PN96_RS04155,0.1236074121588743,PN96_RS04155,imelysin family protein,Function unknown,Op1048,,False,
PN96_RS16225,0.1234525154613783,PN96_RS16225,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,Op273,,False,
PN96_RS09190,0.1208209528156626,PN96_RS09190,TonB-dependent receptor,Inorganic ion transport and metabolism,Op2338,,False,
PN96_RS09205,0.1196866457701648,PN96_RS09205,enterobactin synthase subunit F,"Secondary metabolites biosynthesis, transport, and catabolism",Op2340,,False,
PN96_RS18815,0.1189390566626724,PN96_RS18815,LysR family transcriptional regulator,Transcription,Op966,Fur,True,
PN96_RS09210,0.1180967612657013,PN96_RS09210,isochorismatase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op2340,,False,
PN96_RS09230,0.1168387958620909,PN96_RS09230,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase,Lipid transport and metabolism,Op2342,,False,
PN96_RS14245,0.1155594550351164,PN96_RS14245,class I SAM-dependent methyltransferase,Coenzyme transport and metabolism,Op2933,Fur,True,
PN96_RS09355,0.1123213779693672,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,Op2360,Fur,True,
PN96_RS17035,0.1119584849666616,PN96_RS17035,DUF3450 domain-containing protein,Function unknown,Op483,Fur,True,
PN96_RS09220,0.1103582282627868,PN96_RS09220,isochorismate synthase,Coenzyme transport and metabolism,Op2340,,False,
PN96_RS18805,0.1091652335535842,PN96_RS18805,siderophore ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Op962,,False,
PN96_RS15945,0.1088776524471186,vctC,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,Op189,Fur,True,
PN96_RS15325,0.1084162554791614,fhuC,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Op29,Fur,True,
PN96_RS04150,0.106253128179121,PN96_RS04150,c-type cytochrome,Energy production and conversion,Op1048,,False,
PN96_RS17050,0.1055942131469491,exbD2,biopolymer transporter ExbD,"Intracellular trafficking, secretion, and vesicular transport",Op483,Fur,True,
PN96_RS07790,0.105178450250162,PN96_RS07790,putative manganese transporter,Function unknown,Op1986,Fur,True,
PN96_RS17040,0.1050750350346341,exbB1,MotA/TolQ/ExbB proton channel family protein,"Intracellular trafficking, secretion, and vesicular transport",Op483,Fur,True,
PN96_RS09215,0.1033925570705057,PN96_RS09215,(2%2C3-dihydroxybenzoyl)adenylate synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2340,,False,
PN96_RS09200,0.1032415701769823,PN96_RS09200,hypothetical protein,No COG annotation,Op2340,,False,
PN96_RS22960,0.1032043034997586,PN96_RS22960,phospho-sugar mutase,Carbohydrate transport and metabolism,Op2099,Fur,True,
PN96_RS15925,0.1016696296131371,PN96_RS15925,LysR family transcriptional regulator,Transcription,Op186,,False,
PN96_RS04160,0.1015340394121568,PN96_RS04160,DUF1513 domain-containing protein,Function unknown,Op1048,,False,
PN96_RS17045,0.1010439637504998,exbB2,MotA/TolQ/ExbB proton channel family protein,"Intracellular trafficking, secretion, and vesicular transport",Op483,Fur,True,
PN96_RS15535,0.1010281366283704,PN96_RS15535,hypothetical protein,No COG annotation,Op72,Fur,True,
PN96_RS17060,0.1008377997060979,VC1543,tetratricopeptide repeat protein,Function unknown,Op483,Fur,True,
PN96_RS17020,0.0992423314723358,PN96_RS17020,response regulator transcription factor,Transcription,Op480,,False,
PN96_RS13195,0.098913938246727,PN96_RS13195,hypothetical protein,No COG annotation,Op2817,Fur,True,
PN96_RS16220,0.0979276010622037,PN96_RS16220,Fe(3+)-dicitrate ABC transporter substrate-binding protein FecB,Inorganic ion transport and metabolism,Op272,,False,
PN96_RS15920,0.0951032031681147,PN96_RS15920,TonB-dependent receptor,Inorganic ion transport and metabolism,Op182,,False,
PN96_RS14955,0.094543924217771,bfr,bacterioferritin,Inorganic ion transport and metabolism,Op3023,Fur,True,
PN96_RS17055,0.092267366857908,tonB,energy transducer TonB,"Intracellular trafficking, secretion, and vesicular transport",Op483,Fur,True,
PN96_RS03160,0.0898215629481508,fecE,Fe(3+) dicitrate ABC transporter ATP-binding protein FecE,Inorganic ion transport and metabolism,Op781,,False,
PN96_RS20630,0.0882170070292416,PN96_RS20630,siderophore ferric iron reductase,No COG annotation,Op1445,,False,
PN96_RS06790,0.0870856710360048,PN96_RS06790,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Op1723,,False,
PN96_RS16780,0.0867565722934372,PN96_RS16780,siderophore-interacting protein,Inorganic ion transport and metabolism,Op426,,False,
PN96_RS18810,0.0864407071918035,PN96_RS18810,TonB-dependent receptor,Inorganic ion transport and metabolism,Op963,,False,
PN96_RS15330,0.085511335017846,fhuD,iron-siderophore ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Op29,Fur,True,
PN96_RS10320,0.0840217100437509,PN96_RS10320,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Op2466,,False,
PN96_RS15940,0.0794827782089946,vctB,iron chelate uptake ABC transporter family permease subunit,Inorganic ion transport and metabolism,Op189,Fur,True,
PN96_RS05460,0.0774374048966289,iutA,TonB-dependent receptor,Cell wall/membrane/envelope biogenesis,Op1356,Fur,True,
PN96_RS10325,0.0757268855003625,PN96_RS10325,hypothetical protein,Energy production and conversion,Op2466,,False,
PN96_RS17025,0.0747475892336292,PN96_RS17025,sensor histidine kinase,Signal transduction mechanisms,Op480,,False,
