locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3092,0.1926052808937877,tssL1,conserved protein of unknown function,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3092&e1=1&assembly=complete
PP_3089,0.1900306486351471,hcp1,conserved protein of unknown function,Function unknown,Op2006,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3089&e1=1&assembly=complete
PP_3100,0.1869736751856855,tssB1,conserved protein of unknown function,Function unknown,Op2007,SoxR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3100&e1=1&assembly=complete
PP_3093,0.1787606316948803,tssK1,conserved protein of unknown function,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3093&e1=1&assembly=complete
PP_3094,0.1782464554718669,tssJ1,conserved exported protein of unknown function,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3094&e1=1&assembly=complete
PP_3099,0.1773749740856655,puuD,uricase/urate oxidase,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3099&e1=1&assembly=complete
PP_3097,0.1757230928195982,tssF1,conserved protein of unknown function,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3097&e1=1&assembly=complete
PP_3095,0.1720405317015819,clpV,Protein ClpV1,"Post-translational modification, protein turnover, and chaperones",Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3095&e1=1&assembly=complete
PP_3098,0.1666401053596291,tssE1,conserved protein of unknown function,Function unknown,Op2007,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3098&e1=1&assembly=complete
PP_3088,0.1561992391938081,tssA1,conserved protein of unknown function,Function unknown,Op2005,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3088&e1=1&assembly=complete
PP_3091,0.1558019118989717,tssM1,conserved membrane protein of unknown function,Cell motility,Op2007,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3091&e1=1&assembly=complete
PP_5562,0.1553117071716227,tagX1,conserved protein of unknown function,No COG annotation,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5562&e1=1&assembly=complete
PP_3096,0.1469082443476988,tssG1,conserved protein of unknown function,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3096&e1=1&assembly=complete
PP_5561,0.1456284076198639,tagF1,conserved protein of unknown function,Function unknown,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5561&e1=1&assembly=complete
PP_3090,0.1359681009017883,tagP1,OmpA domain protein,Cell motility,Op2007,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3090&e1=1&assembly=complete
