locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PedR1,link
PP_2675,0.262060429519537,PP_2675,Cytochrome c-type protein,Energy production and conversion,Op1749,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2675&e1=1&assembly=complete
PP_2676,0.2564515791913871,PP_2676,putative Periplasmic binding protein,Amino acid transport and metabolism,Op1749,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2676&e1=1&assembly=complete
PP_2677,0.2434397758239388,PP_2677,conserved exported protein of unknown function,Function unknown,Op1749,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2677&e1=1&assembly=complete
PP_2678,0.2393896554054382,PP_2678,putative Hydrolase,Function unknown,Op1749,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2678&e1=1&assembly=complete
PP_2669,0.2281557416202969,PP_2669,putative Outer membrane protein,Energy production and conversion,Op1745,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2669&e1=1&assembly=complete
PP_2680,0.2247449148538719,aldB-II,aldehyde dehydrogenase,Energy production and conversion,Op1751,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2680&e1=1&assembly=complete
PP_2674,0.2148785209640927,qedH-I,quinoprotein ethanol dehydrogenase,Carbohydrate transport and metabolism,Op1748,"PedR1,PedS2",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2674&e1=1&assembly=complete
PP_2663,0.2113233316796574,PP_2663,conserved protein of unknown function,Cell motility,Op1743,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2663&e1=1&assembly=complete
PP_5538,0.20805068096451,PP_5538,putative ABC transporter%2C substrate-binding protein,Amino acid transport and metabolism,Op1745,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5538&e1=1&assembly=complete
PP_2664,0.2067615316605744,PP_2664,putative hybrid sensor and regulator%2C histidine kinase,Signal transduction mechanisms,Op1743,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2664&e1=1&assembly=complete
PP_2673,0.2022503391041063,PP_2673,Pentapeptide repeat family protein,Function unknown,Op1747,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2673&e1=1&assembly=complete
PP_2681,0.1979591273124577,pqqD-II,coenzyme PQQ synthesis protein D,Function unknown,Op1752,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2681&e1=1&assembly=complete
