,A,bkaR
R2,,0.1903852064255277
xmin,,-2.8000344539
xmid,,-0.4845956860615477
xmax,,2.4241165004000003
ystart,,-1.253722267670236
yend,,6.299054192878455
AX:AX_10_MIC:1,0.8623280092000001,-0.7578755405000001
AX:AX_10_MIC:2,1.5957841509000001,0.4023096371
AX:AX_30_MIC:1,1.0293367654,-0.342734496
AX:AX_30_MIC:2,1.6896993249,0.6190850352
AX:QZ_10_MIC:1,1.1350776959,-0.3204690859
AX:QZ_10_MIC:2,1.7693889826,0.7275574794
AX:QZ_30_MIC:1,2.2066116144,-0.0442587287
AX:QZ_30_MIC:2,1.7288569159,-0.109961552
AX:wt:1,1.0041272385,-0.2226907243
AX:wt:2,-1.0041272385,0.2226907243
ITM_04:00h_clinic_ctrl:1,-2.9420849737,-0.4241220775
ITM_04:00h_clinic_ctrl:2,-3.2560440802,-0.57355659
ITM_04:00h_h37rv_control:1,-0.053710852,0.0568804245
ITM_04:00h_h37rv_control:2,0.6661618731000001,0.0029319068
ITM_04:00h_h37rv_control:3,-0.6124510211,-0.0598123313
ITM_04:06h_clinic_delam:1,-0.6876248389,-0.0318037524
ITM_04:06h_clinic_delam:2,-0.6564877168000001,0.0035213214
ITM_04:06h_clinic_delam:3,-0.3165227905,0.0066801878
ITM_04:06h_clinic_DMSO:1,-7.0082714904,-0.8178302451
ITM_04:06h_clinic_DMSO:2,-7.6889923189000005,-0.9207366353
ITM_04:06h_clinic_DMSO:3,-6.8451068242,-0.7960870091000001
ITM_04:06h_h37rv_delam:1,1.3409438335,-0.44410471370000004
ITM_04:06h_h37rv_delam:2,1.4786022828,-0.20086694930000001
ITM_04:06h_h37rv_delam:3,1.9177424528,-0.2503701653
ITM_04:06h_h37rv_DMSO:1,-7.1015070748,-0.8543539567
ITM_04:06h_h37rv_DMSO:2,-6.8440413403,-0.8385805657000001
ITM_04:06h_h37rv_DMSO:3,-5.598044161,-0.5439419926
