,A,PchR
R2,,0.6071949810025944
xmin,,-2.839046469
xmid,,-1.3364906795778901
xmax,,6.012833014
ystart,,-4.218210257071593
yend,,22.03022745168096
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,0.9333381679,-0.043270666
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-0.9333381679,0.043270666
AB569_EDTA_NaNO2:NaNO2:1,1.1508088788,1.933857106
AB569_EDTA_NaNO2:NaNO2:2,1.0089412171,1.431130041
AB569_EDTA_NaNO2:EDTA:1,26.392220122,5.784233132
AB569_EDTA_NaNO2:EDTA:2,26.4138521884,5.789518248
AB569_EDTA_NaNO2:EDTA:3,26.8744124349,5.561966567
AB569_EDTA_NaNO2:NaNO2_EDTA:1,1.2663583859,3.083616001
AB569_EDTA_NaNO2:NaNO2_EDTA:2,1.5873202108000002,2.987820063
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.4417045694,-0.087798977
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.4417045694,0.087798977
Anthranilate_metabolism_GntR_AntP:antP:1,-0.4754566516,-0.27372269600000004
Anthranilate_metabolism_GntR_AntP:antP:2,0.1918184393,-0.038610856
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,0.008006709400000001,-0.06524239400000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,-0.008006709400000001,0.06524239400000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,1.9174763436000002,0.138134154
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,1.5888117284,0.15348656500000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,-1.6104234806000002,-0.699854807
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,-0.9513435195000001,-0.17127212800000002
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,8.3256644823,-0.65800353
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,7.5269916964,-0.44580361500000004
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,7.9199547097,-0.44003153
