,A,sigC
R2,,0.2153934394587742
xmin,,-4.0228830985
xmid,,-0.41168997001024477
xmax,,3.5082538026
ystart,,-1.2211804356598004
yend,,11.32874120299125
AX:AX_10_MIC:1,-0.4114041915,0.1891452804
AX:AX_10_MIC:2,-3.0985770822,0.5883611763000001
AX:AX_30_MIC:1,-1.0953327145,0.32605020490000003
AX:AX_30_MIC:2,-4.2699190424,0.561787565
AX:QZ_10_MIC:1,-0.6927474838000001,0.3391318914
AX:QZ_10_MIC:2,-3.7770633459000003,0.6286931410000001
AX:QZ_30_MIC:1,-2.766178201,0.1719459821
AX:QZ_30_MIC:2,-1.3957725998,0.2162505412
AX:wt:1,-0.33080834610000004,-0.07835416020000001
AX:wt:2,0.33080834610000004,0.07835416020000001
ITM_04:00h_clinic_ctrl:1,-2.6685148867,-0.7755123701000001
ITM_04:00h_clinic_ctrl:2,-2.5695640639,-0.369361231
ITM_04:00h_h37rv_control:1,-0.2257354664,-0.1884798352
ITM_04:00h_h37rv_control:2,0.3512659121,0.053539215700000004
ITM_04:00h_h37rv_control:3,-0.1255304457,0.1349406195
ITM_04:06h_clinic_delam:1,-4.9120076769,-1.9525877423
ITM_04:06h_clinic_delam:2,-4.7363715796,-1.7661348031
ITM_04:06h_clinic_delam:3,-4.5989704989,-1.9003875714
ITM_04:06h_clinic_DMSO:1,-2.9779073966,-0.898128982
ITM_04:06h_clinic_DMSO:2,-3.8273891567,-0.9209370920000001
ITM_04:06h_clinic_DMSO:3,-2.9519652349000003,-1.1019589648
ITM_04:06h_h37rv_delam:1,-4.2806577523,-1.8626186094000001
ITM_04:06h_h37rv_delam:2,-4.3703607506,-2.0598620058
ITM_04:06h_h37rv_delam:3,-3.8814611132,-2.1552078196
ITM_04:06h_h37rv_DMSO:1,-2.6710070479,-0.025228877
ITM_04:06h_h37rv_DMSO:2,-2.7853350452,-0.0247417801
ITM_04:06h_h37rv_DMSO:3,-2.9074887052,-0.2763485632
ITM_04:24h_clinic_delam:1,-5.4970332782,-2.2130254083
ITM_04:24h_clinic_delam:2,-4.6962815299,-2.3923271629
ITM_04:24h_clinic_delam:3,-5.2719077311,-2.3254119628
ITM_04:24h_clinic_DMSO:1,-2.7076735053,-1.5981078553999999
ITM_04:24h_clinic_DMSO:2,-2.7293718142000003,-1.2527933118
ITM_04:24h_clinic_DMSO:3,-1.9435174537000002,-1.5065914018000002
ITM_04:24h_h37rv_delam:1,-5.4583335947,-2.5674557675000003
ITM_04:24h_h37rv_delam:2,-5.4714031562,-2.4768266738999998
ITM_04:24h_h37rv_delam:3,-5.1991264951,-2.472297314
ITM_04:24h_h37rv_DMSO:1,-3.4638319793,-0.8656308538
ITM_04:24h_h37rv_DMSO:2,-3.2435618263,-0.4275024536
JSF:DMSO:1,-0.3227900636,-0.021551033100000002
JSF:DMSO:2,0.1681011682,-0.054478144000000006
JSF:DMSO:3,0.0810606543,0.0725107618
JSF:DMSO:4,0.0736282411,0.0035184153
JSF:JSF_2019:1,-1.9175503653,-2.3158035931
JSF:JSF_2019:2,-0.1619220272,-2.277064621
JSF:JSF_2019:3,-1.7787053354,-2.3374339101
JSF:JSF_2019:4,-1.9623519941,-2.2011455817
JSF:JSF_2026:1,-0.9304138454,-2.3192623334
JSF:JSF_2026:2,0.20927144960000002,-2.1194835108
JSF:JSF_2026:3,0.8763117349,-1.9213393928
JSF:JSF_2026:4,-0.24561793510000002,-2.1464428102
MTS1338:over_expression:1,-1.7064466229000002,0.9024616054
MTS1338:over_expression:2,1.7064466229000002,-0.9024616054
PAS:control:1,0.5959829651,0.1098928727
PAS:control:2,0.7085356257000001,-0.0625904531
PAS:control:3,-1.3045185907999999,-0.047302419500000005
PAS:treated:1,-4.191409928,-0.4201584772
PAS:treated:2,-2.5409586259,-0.5760837123
PAS:treated:3,-4.8479700441,-0.7121368622
THP-1:24h_THP_B_enriched:1,0.2878569318,-0.40182990090000004
THP-1:24h_THP_B_enriched:2,-0.2878569318,0.40182990090000004
aminoimidazoles:02h_treated:1,1.2754515162,0.2098606623
aminoimidazoles:02h_treated:2,1.126928031,0.2341567162
aminoimidazoles:24h_treated:1,-0.5652202045,-0.8374976979000001
aminoimidazoles:24h_treated:2,-0.7353331144,-0.6275892674
aminoimidazoles:untreated:1,0.17895372410000002,-0.1054216963
aminoimidazoles:untreated:2,-0.3018339994,-0.0184069874
aminoimidazoles:untreated:3,0.12288027530000001,0.12382868370000001
antibiotic:ctrl_24h:1,0.9648253524,-0.3964045163
antibiotic:ctrl_24h:2,-0.6666285307,-0.0962488301
antibiotic:ctrl_24h:3,1.0261129396,0.640307924
antibiotic:ctrl_4h:1,-0.403752533,-0.8253889969
