,A,prpR
R2,,0.8065131027705221
xmin,,-4.8259541212
xmid,,-1.7669930300367205
xmax,,6.7775035844
ystart,,-3.74608692940133
yend,,15.04384459246663
AX:AX_10_MIC:1,2.2087540736,0.28755862060000004
AX:AX_10_MIC:2,2.0017480208,0.2215170766
AX:AX_30_MIC:1,1.9557022078,-0.0257666602
AX:AX_30_MIC:2,2.2333069216,0.5197883847
AX:QZ_10_MIC:1,2.4288990959,0.10358412950000001
AX:QZ_10_MIC:2,2.2064891921,0.4339090514
AX:QZ_30_MIC:1,2.3511947744,0.3882815126
AX:QZ_30_MIC:2,2.302834718,0.1966582725
AX:wt:1,1.1870497655,0.0051310035
AX:wt:2,-1.1870497655,-0.0051310035
ITM_04:00h_clinic_ctrl:1,0.2463958473,0.5034057682
ITM_04:00h_clinic_ctrl:2,-0.1397447109,0.1970290262
ITM_04:00h_h37rv_control:1,0.1344701991,-0.015080727200000001
ITM_04:00h_h37rv_control:2,0.21562308430000002,-0.0075806285000000004
ITM_04:00h_h37rv_control:3,-0.3500932833,0.022661355600000002
ITM_04:06h_clinic_delam:1,4.1644293697,2.091121106
ITM_04:06h_clinic_delam:2,4.1044441528,1.8471233992
ITM_04:06h_clinic_delam:3,4.2134035158,2.0134096457
ITM_04:06h_clinic_DMSO:1,0.7794722260000001,0.7492119498
ITM_04:06h_clinic_DMSO:2,0.8097944398,1.0339758566
ITM_04:06h_clinic_DMSO:3,1.0881292253,0.9702208132000001
ITM_04:06h_h37rv_delam:1,7.6143622971,3.3601174212
ITM_04:06h_h37rv_delam:2,7.5735335251,3.3311698956
ITM_04:06h_h37rv_delam:3,8.0562246085,3.4057191405
ITM_04:06h_h37rv_DMSO:1,1.67552085,1.1518456699
ITM_04:06h_h37rv_DMSO:2,1.0737740675,0.9360253235
ITM_04:06h_h37rv_DMSO:3,1.1813971671,0.7283205454
ITM_04:24h_clinic_delam:1,4.5546256803,1.5967771091
ITM_04:24h_clinic_delam:2,4.9703780966,1.7110428025000002
ITM_04:24h_clinic_delam:3,4.8303700231,1.7189760016000002
ITM_04:24h_clinic_DMSO:1,0.7022897581,0.7864957170000001
ITM_04:24h_clinic_DMSO:2,0.090044515,0.5500684741
ITM_04:24h_clinic_DMSO:3,0.1952346533,0.4949773069
ITM_04:24h_h37rv_delam:1,9.1672844658,3.6824869195
ITM_04:24h_h37rv_delam:2,9.03391067,3.6436160943
ITM_04:24h_h37rv_delam:3,9.0791969898,3.6240968809
ITM_04:24h_h37rv_DMSO:1,0.5887892691000001,0.38149954610000003
ITM_04:24h_h37rv_DMSO:2,0.26223564120000004,0.7433207372
JSF:DMSO:1,-0.3677170698,-0.1932453542
JSF:DMSO:2,0.1371490763,-0.0510017116
JSF:DMSO:3,0.1525275187,0.0846232531
JSF:DMSO:4,0.0780404747,0.1596238127
JSF:JSF_2019:1,2.2473862831,-0.2176576933
JSF:JSF_2019:2,3.1298852508,0.5482494047
JSF:JSF_2019:3,2.2365313185,0.10589397290000001
JSF:JSF_2019:4,2.2414431703,-0.1441778718
JSF:JSF_2026:1,0.2892654841,0.0950684304
JSF:JSF_2026:2,0.8876547748,0.5771473765
JSF:JSF_2026:3,0.9973685569,0.5375970392
JSF:JSF_2026:4,0.4855224482,0.18647669660000002
MTS1338:over_expression:1,0.215438349,0.0889642085
MTS1338:over_expression:2,-0.215438349,-0.0889642085
PAS:control:1,0.23732278210000002,0.2614382571
PAS:control:2,-0.0651088263,-0.2671984146
PAS:control:3,-0.1722139558,0.0057601575
PAS:treated:1,-1.6249443583,-0.2030083886
PAS:treated:2,-1.2902407196,0.2390123277
PAS:treated:3,-1.5467368627,0.0175521556
THP-1:24h_THP_B_enriched:1,1.7035046967,0.7081265392
THP-1:24h_THP_B_enriched:2,-1.7035046967,-0.7081265392
aminoimidazoles:02h_treated:1,8.3703502971,3.4100106546
aminoimidazoles:02h_treated:2,8.4586599807,3.3542833637
aminoimidazoles:24h_treated:1,5.5045199779,1.7241404619
aminoimidazoles:24h_treated:2,5.5888036172,1.7888023354
aminoimidazoles:untreated:1,-0.1616176755,0.0645778127
aminoimidazoles:untreated:2,0.009701934800000001,-0.09710175230000001
aminoimidazoles:untreated:3,0.1519157407,0.0325239396
