,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,SRS_Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project,condition,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_condition_name,passed_similar_replicates,passed_number_replicates,replicate,sample,n_replicates
SRX3136375,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980348;SRR5980349;SRR5980350;SRR5980351,SRP116269,PRJNA400327,400327,SRS2469297,SAMN07563778,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432078,GSE103146,GSM2754488,29021529.0,7563778,DM9404,wild-type,NC_003197.2;NC_003277.2,2AA,WT,WT,LT2_DM9404,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM9404,,WT,,1,1,2AA_wt_1,,,True,True,True,2AA:WT,True,True,1.0,2AA:WT:1.0,4.0
SRX3136376,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980352;SRR5980353;SRR5980354;SRR5980355,SRP116269,PRJNA400327,400327,SRS2469321,SAMN07563777,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432079,GSE103146,GSM2754489,29021529.0,7563777,DM9404,wild-type,NC_003197.2;NC_003277.2,2AA,WT,WT,LT2_DM9404,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM9404,,WT,,2,1,2AA_wt_2,,,True,True,True,2AA:WT,True,True,2.0,2AA:WT:2.0,4.0
SRX3136377,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980356;SRR5980357;SRR5980358;SRR5980359,SRP116269,PRJNA400327,400327,SRS2469307,SAMN07563776,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432080,GSE103146,GSM2754490,29021529.0,7563776,DM9404,wild-type,NC_003197.2;NC_003277.2,2AA,WT,WT,LT2_DM9404,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM9404,,WT,,3,1,2AA_wt_3,,,True,True,True,2AA:WT,True,True,3.0,2AA:WT:3.0,4.0
SRX3136378,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980360;SRR5980361;SRR5980362;SRR5980363,SRP116269,PRJNA400327,400327,SRS2469298,SAMN07563783,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432081,GSE103146,GSM2754491,29021529.0,7563783,DM9404,wild-type,NC_003197.2;NC_003277.2,2AA,WT,WT,LT2_DM9404,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM9404,,WT,,4,1,2AA_wt_4,,,True,True,True,2AA:WT,True,True,4.0,2AA:WT:4.0,4.0
SRX3136379,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980364;SRR5980365;SRR5980366;SRR5980367,SRP116269,PRJNA400327,400327,SRS2469299,SAMN07563782,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432082,GSE103146,GSM2754492,29021529.0,7563782,DM3480,ridA,NC_003197.2;NC_003277.2,2AA,del_ridA,WT,LT2_DM3480,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM3480,,ridA,,1,1,2AA_del_ridA_1,,,True,True,True,2AA:del_ridA,True,True,1.0,2AA:del_ridA:1.0,4.0
SRX3136380,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980368;SRR5980369;SRR5980370;SRR5980371,SRP116269,PRJNA400327,400327,SRS2469302,SAMN07563781,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432083,GSE103146,GSM2754493,29021529.0,7563781,DM3480,ridA,NC_003197.2;NC_003277.2,2AA,del_ridA,WT,LT2_DM3480,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM3480,,ridA,,2,1,2AA_del_ridA_2,,,True,True,True,2AA:del_ridA,True,True,2.0,2AA:del_ridA:2.0,4.0
SRX3136381,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980372;SRR5980373;SRR5980374;SRR5980375,SRP116269,PRJNA400327,400327,SRS2469300,SAMN07563780,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432084,GSE103146,GSM2754494,29021529.0,7563780,DM3480,ridA,NC_003197.2;NC_003277.2,2AA,del_ridA,WT,LT2_DM3480,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM3480,,ridA,,3,1,2AA_del_ridA_3,,,True,True,True,2AA:del_ridA,True,True,3.0,2AA:del_ridA:3.0,4.0
SRX3136382,8/29/17 16:17,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,99287,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5980376;SRR5980377;SRR5980378;SRR5980379,SRP116269,PRJNA400327,400327,SRS2469301,SAMN07563779,SRA602980,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4432085,GSE103146,GSM2754495,29021529.0,7563779,DM3480,ridA,NC_003197.2;NC_003277.2,2AA,del_ridA,WT,LT2_DM3480,no_carbon_E_medium_NCE,11_mM D-glucose,,Aerobic,"1_mM MgSO4, trace minerals",37C,,mid-log,0.6 (OD650),Difco nutrient browth (NB) (8_g/L) containing NaCL (5_g/L) was used as rich medium. Minimal medium treatment.,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 DM3480,,ridA,,4,1,2AA_del_ridA_4,,,True,True,True,2AA:del_ridA,True,True,4.0,2AA:del_ridA:4.0,4.0
SRX8914620,2020-08-10 09:47:49,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,HiSeq X Five,SRR12418625,SRP276847,PRJNA656165,656165,SRS7171269,SAMN15773090,SRA1110646,RNA-Seq,PCR,TRANSCRIPTOMIC,,SICHUAN UNIVERSITY,0,0,11588168,,,,15773090,LT2,WT,NC_003197.2;NC_003277.2,GC_MS,WT,WT,WT,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Duck,WT,,1,1,WT_1,,,True,True,True,GC_MS:WT,True,True,1.0,GC_MS:WT:1.0,3.0
SRX8914621,2020-08-10 09:38:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,HiSeq X Five,SRR12418624,SRP276847,PRJNA656165,656165,SRS7171270,SAMN15773091,SRA1110646,RNA-Seq,PCR,TRANSCRIPTOMIC,,SICHUAN UNIVERSITY,0,0,11588169,,,,15773091,LT2,WT,NC_003197.2;NC_003277.2,GC_MS,WT,WT,WT,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Duck,WT,,2,1,WT_2,,,True,True,True,GC_MS:WT,True,True,2.0,GC_MS:WT:2.0,3.0
